3rd Sequence,FO3Sq,2.9,1.9,1.0,4.1,-1.0,-1.9,-2.9
4th Sequence,FO4Sq,3.3,2.2,1.1,4.5,-1.1,-2.2,-3.3
1st Sequence,FT1Sq,2.1,1.4,0.7,3.3,-0.7,-1.4,-2.1
2nd Sequence,FT2Sq,2.5,1.7,0.8,3.7,-0.8,-1.7,-2.5
3rd Sequence,FT3Sq,2.9,1.9,1.0,4.1,-1.0,-1.9,-2.9
4th Sequence,FT4Sq,3.3,2.2,1.1,4.5,-1.1,-2.2,-3.3
1st Sequence,RF1Sq,2.1,1.4,0.7,3.3,-0.7,-1.4,-2.1
2nd Sequence,RF2Sq,2.5,1.7,0.8,3.7,-0.8,-1.7,-2.5
3rd Sequence,RF3Sq,2.9,1.9,1.0,4.1,-1.0,-1.9,-2.9
4th Sequence,RF4Sq,3.3,2.2,1.1,4.5,-1.1,-2.2,-3.3
1st Sequence,EW1Sq,4.2,2.8,1.4,6.7,-1.4,-2.8,-4.2
2nd Sequence,EW2Sq,6.6,4.4,2.2,8.9,-2.2,-4.4,-6.6
1st Sequence,AW1Sq,4.2,2.8,1.4,6.7,-1.4,-2.8,-4.2
2nd Sequence,AW2Sq,6.6,4.4,2.2,8.9,-2.2,-4.4,-6.6
1st Sequence 1st Section,WW1Sq1se,2.1,1.4,0.7,3.3,-0.7,-1.4,-2.1
1st Sequence 2nd Section,WW1Sq2Se,2.5,1.7,0.8,3.7,-0.8,-1.7,-2.5
2nd Sequence 1st Section,WW2Sq1Se,2.9,1.9,1.0,4.1,-1.0,-1.9,-2.9
2nd Sequence 2nd Section,WW2Sq2Se,3.3,2.2,1.1,4.5,-1.1,-2.2,-3.3
1st Sequence,VW1Sq,2.8,1.9,1.0,4.4,-1.0,-1.9,-2.8
2nd Sequence,VW2Sq,3.6,2.4,1.2,5.2,-1.2,-2.4,-3.6
3rd Sequence,VW3Sq,4.4,2.9,1.4,6.0,-1.4,-2.9,-4.4
1st Sequence 1st Section,OW1Sq1Se,2.1,1.4,0.7,3.3,-0.7,-1.4,-2.1
1st Sequence 2nd Section,OW1Sq2Se,2.5,1.7,0.8,3.7,-0.8,-1.7,-2.5
2nd Sequence 1st Section,OW2Sq1Se,2.9,1.9,1.0,4.1,-1.0,-1.9,-2.9
2nd Sequence 2nd Section,OW2Sq2Se,3.3,2.2,1.1,4.5,-1.1,-2.2,-3.3
1st Sequence 1st Section,SW1Sq1Se,2.1,1.4,0.7,3.3,-0.7,-1.4,-2.1
1st Sequence 2nd Section,SW1Sq2Se,2.5,1.7,0.8,3.7,-0.8,-1.7,-2.5
2nd Sequence 1st Section,SW2Sq1Se,2.9,1.9,1.0,4.1,-1.0,-1.9,-2.9
2nd Sequence 2nd Section,SW2Sq2Se,3.3,2.2,1.1,4.5,-1.1,-2.2,-3.3
1st Sequence 1st Section,RW1Sq1Se,2.1,1.4,0.7,3.3,-0.7,-1.4,-2.1
1st Sequence 2nd Section,RW1Sq2Se,2.5,1.7,0.8,3.7,-0.8,-1.7,-2.5
2nd Sequence 1st Section,RW2Sq1Se,2.9,1.9,1.0,4.1,-1.0,-1.9,-2.9
2nd Sequence 2nd Section,RW2Sq2Se,3.3,2.2,1.1,4.5,-1.1,-2.2,-3.3
1st Sequence 1st Section,GW1Sq1Se,2.1,1.4,0.7,3.3,-0.7,-1.4,-2.1
1st Sequence 2nd Section,GW1Sq2Se,2.5,1.7,0.8,3.7,-0.8,-1.7,-2.5
2nd Sequence 1st Section,GW2Sq1Se,2.9,1.9,1.0,4.1,-1.0,-1.9,-2.9
2nd Sequence 2nd Section,GW2Sq2Se,3.3,2.2,1.1,4.5,-1.1,-2.2,-3.3
1st Sequence,KI1Sq,1.4,1.0,0.5,2.2,-0.5,-1.0,-1.4
2nd Sequence,KI2Sq,1.5,1.1,0.5,2.4,-0.5,-1.1,-1.5
3rd Sequence,KI3Sq,1.7,1.2,0.6,2.6,-0.6,-1.2,-1.7
