judge_name,assigned_country,role,segment_category,pdf_name,program,competition,officials_table_link,results_pdf_link,clean_judge_name
Mr. Kersten BELLMANN,GER,Judge No.1,Free Skating|Junior Pairs,b1773d6f3f_data0705.pdf,JUNIOR PAIRS FREE SKATING,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0750.htm,http://www.isuresults.com/results/season1718/gpf1718/data0705.pdf,Kersten  BELLMANN
Mr. Jeff LUKASIK,CAN,Judge No.2,Free Skating|Junior Pairs,b1773d6f3f_data0705.pdf,JUNIOR PAIRS FREE SKATING,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0750.htm,http://www.isuresults.com/results/season1718/gpf1718/data0705.pdf,Jeff LUKASIK
Ms. Elizabeth ALEXANDRE,AUS,Judge No.3,Free Skating|Junior Pairs,b1773d6f3f_data0705.pdf,JUNIOR PAIRS FREE SKATING,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0750.htm,http://www.isuresults.com/results/season1718/gpf1718/data0705.pdf,Elizabeth  ALEXANDRE
Mr. Feng HUANG,CHN,Judge No.4,Free Skating|Junior Pairs,b1773d6f3f_data0705.pdf,JUNIOR PAIRS FREE SKATING,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0750.htm,http://www.isuresults.com/results/season1718/gpf1718/data0705.pdf,Feng HUANG
Mr. Paolo PIZZOCARI,ITA,Judge No.5,Free Skating|Junior Pairs,b1773d6f3f_data0705.pdf,JUNIOR PAIRS FREE SKATING,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0750.htm,http://www.isuresults.com/results/season1718/gpf1718/data0705.pdf,Paolo PIZZOCARI
Ms. Elena FOMINA,RUS,Judge No.6,Free Skating|Junior Pairs,b1773d6f3f_data0705.pdf,JUNIOR PAIRS FREE SKATING,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0750.htm,http://www.isuresults.com/results/season1718/gpf1718/data0705.pdf,Elena FOMINA
Mr. Anthony LEROY,FRA,Judge No.7,Free Skating|Junior Pairs,b1773d6f3f_data0705.pdf,JUNIOR PAIRS FREE SKATING,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0750.htm,http://www.isuresults.com/results/season1718/gpf1718/data0705.pdf,Anthony LEROY
Ms. Tomiko YAMADA,JPN,Judge No.8,Free Skating|Junior Pairs,b1773d6f3f_data0705.pdf,JUNIOR PAIRS FREE SKATING,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0750.htm,http://www.isuresults.com/results/season1718/gpf1718/data0705.pdf,Tomiko YAMADA
Ms. Tamie K. CAMPBELL,USA,Judge No.9,Free Skating|Junior Pairs,b1773d6f3f_data0705.pdf,JUNIOR PAIRS FREE SKATING,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0750.htm,http://www.isuresults.com/results/season1718/gpf1718/data0705.pdf,Tamie K. CAMPBELL
Mr. Kenji AMAKO,JPN,Judge No.1,Free Skating|Ladies,fa0655f6a7_data0205.pdf,LADIES FREE SKATING,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0250.htm,http://www.isuresults.com/results/season1718/gpf1718/data0205.pdf,Kenji AMAKO
Ms. Chihee RHEE,KOR,Judge No.2,Free Skating|Ladies,fa0655f6a7_data0205.pdf,LADIES FREE SKATING,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0250.htm,http://www.isuresults.com/results/season1718/gpf1718/data0205.pdf,Chihee RHEE
Ms. Emilie BILLOW,SWE,Judge No.3,Free Skating|Ladies,fa0655f6a7_data0205.pdf,LADIES FREE SKATING,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0250.htm,http://www.isuresults.com/results/season1718/gpf1718/data0205.pdf,Emilie BILLOW
Ms. Olga KOZHEMIAKINA,RUS,Judge No.4,Free Skating|Ladies,fa0655f6a7_data0205.pdf,LADIES FREE SKATING,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0250.htm,http://www.isuresults.com/results/season1718/gpf1718/data0205.pdf,Olga KOZHEMIAKINA
Ms. Deveny DECK,USA,Judge No.5,Free Skating|Ladies,fa0655f6a7_data0205.pdf,LADIES FREE SKATING,Grand Prix Final 2017 Senior and Junior,http://www.isuresults.com/results/season1718/gpf1718/data0250.htm,http://www.isuresults.com/results/season1718/gpf1718/data0205.pdf,Deveny DECK
